390g 80% 4% 511g 551C
876g 745g 58% 606C 34%
6% 31% 586g 249g 228C
520g 844C 326g 303g 42%
257g 698g 181g 445C 124g
940g 826g 56C 11% 5C
226g 962g 979C 90g 829C
840C 2% 57% 98C 8%
356C 252C 59% 946g 670g
414g 830g 966C 369C 795g
440C 637C 877C 729C 69%
97% 124g 2% 462C 0%
809g 80% 701C 12% 2%
622C 34% 42% 338g 138g
226C 384g 137C 486C 448C
435g 17C 249g 161g 141g
53% 461C 5% 27% 918g
72C 977g 200g 51% 417C
83% 161g 667g 170C 517g
47% 427C 24% 0% 4%
704g 677C 99C 0% 267g
754g 122g 54% 678g 0%
341g 66% 20% 923g 90g
23% 64% 180C 81C 384g
97% 403C 53g 213C 0%
927g 360C 48C 722g 386g
114g 59% 414g 729C 28%
548C 251g 92% 214C 5%
292g 81g 14% 747g 805g
600g 46% 819C 50g 660g
14% 16% 512g 34% 19%
79% 36C 1% 794C 538g
523C 222g 50g 382g 941C
26% 1% 925g 606C 194C
567g 184C 738g 353C 514C
483C 33% 607C 98g 588C
32C 699C 686g 103C 175C
541C 74% 697C 200C 2%
645C 104g 236C 866C 53C
726g 20% 25% 401C 750g
177C 23% 368g 35% 123C
35% 940g 851g 20% 863g
524g 98% 0% 755C 0%
0% 149C 382g 495C 439g
559g 91C 518g 381g 64%
233C 186g 538C 8g 728C
51% 31% 255C 11% 327g
721g 36g 738g 810g 579g
716g 16% 21% 510C 599C
69g 70% 12% 14% 428g
833g 606g 17% 29% 4%
354C 872C 490C 76C 378g
91% 779C 664C 5% 758g
128g 620C 164g 82% 816C
0C 38% 293C 198C 29g
750g 728C 337C 64g 53%
499C 17% 367C 43% 14%
56% 24% 2% 723C 17%
629g 76C 502g 2% 794g
92% 888g 765C 3% 460g
854g 343C 11% 804g 2%
138C 93% 884g 331C 14C
945g 71% 668g 25% 1%
576g 221g 30% 468g 8%
158C 893C 74% 550C 24%
783g 375C 99% 442C 554g
97% 932C 105g 2% 797C
92% 430C 2% 667g 62C
229g 902g 752g 99% 245g
807g 387C 65% 33% 1%
641C 9% 247C 180g 936g
54% 34% 473g 510C 4%
729g 54C 342C 960g 487C
-
128C 811g 390C 84g 371g
11% 471g 361g 281C 21%
66% 443C 53g 46g 501g
750g 918C 885g 349C 17%
0C 60% 499g 39% 0%
22% 10C 28% 331C 13%
31% 165C 62% 258C 724g
949g 655C 547C 82% 288C
685g 916C 831g 110g 30C
698C 92% 11C 2% 401g
49% 419C 8% 64g 353g
689C 866g 438C 731C 563C
875C 526g 828g 339C 12%
46% 794g 42% 584g 6%
38% 681g 652g 5C 668C
200g 533g 414C 968C 865g
197C 246g 976g 100g 251g
851C 505C 298C 3% 244g
224g 919C 875g 23% 439C
676g 399C 980C 490C 641C
91% 2% 5% 906C 388g
755g 299C 22% 713g 32%
34% 141g 320C 713C 555C
904C 46% 195C 72C 306C
957C 425g 440g 35% 44C
658C 3% 616g 273g 385g
84% 979C 628g 809C 4%
865g 880C 250g 789C 78%
594C 16% 16% 64% 761C
-
97% 125C 79C 841g 984C
997C 40% 875C 780C 744C
58% 21% 272C 831g 679g
32% 92g 508C 864C 655g
9g 826C 43% 467g 18g
741g 96% 984C 0% 6g
160C 47% 251g 40% 509C
316g 88% 1% 1% 9%
156g 42% 174C 124C 998C
-
58% 33C 477g 25% 6%
613C 166g 346C 8% 861g
47% 34% 9% 7% 2%
35g 88% 6% 261g 762C
144C 185C 835g 964g 75%
69% 986C 777g 89g 21%
67% 745g 784C 272g 385g
657g 113g 44% 79g 144g
86% 580C 456g 698C 413g
235C 390g 39C 952g 19%
49C 571g 76% 464g 8%
461C 226g 38g 750g 579g
115g 396C 147C 31g 99g
789g 184g 15% 53% 167C
792g 170C 73% 53g 298C
286g 799C 623g 822C 749g
609g 773g 4% 49% 972g
941g 308g 135g 320C 804g
524g 84% 829g 973C 13%
76% 966g 0% 543g 706g
610C 632g 759C 52% 659C
50C 4% 859g 793C 41%
611C 85% 10% 851g 2%
826C 5% 88% 1% 2%
535C 71% 3% 524C 9%
35% 627C 412C 331C 353C
821g 477C 89% 9% 729g
506g 537g 7% 612g 146g
897C 65% 55C 33% 641C
61% 802C 9% 793g 61g
980C 490C 97% 639C 533g
644C 820C 54% 339g 9%
496C 146g 20% 794g 581g
488C 75% 6% 16% 837g
209C 543C 442C 8% 722g
465g 903g 220C 304C 689g
222C 98% 509g 25g 301g
203g 695g 243g 596g 23%
776C 888g 404g 106g 27%
297C 78% 750C 18% 980g
989g 193g 282g 525C 287C
48% 941g 50% 248g 758g
756C 828g 3% 325g 57C
512g 41% 434C 141g 353C
164g 547C 93% 155g 4%
421g 320C 849g 180C 5C
480g 636C 575g 797g 735g
849C 8% 357C 6% 12%
777g 815g 519C 921C 90%
938g 97% 0% 2% 793C
997g 36% 392C 608g 53%
43% 725g 431g 126C 24%
84% 339g 865C 9% 179C
651C 46% 634g 384C 24%
402C 627C 633g 77C 116C
28% 665g 585C 804g 25%
445C 863C 92% 481C 444C
118g 585g 27% 157C 34C
482g 77% 934C 29g 456g
25% 30% 345g 40% 1%
41% 134C 118C 749C 48%
252C 950C 198C 991C 74%
58% 701g 32% 3% 578g
521g 636C 349C 820g 381g
87% 440g 314C 422g 570g
5% 47% 35% 909g 2%
302C 10g 63g 45% 163C
273g 764C 87% 408C 736g
162g 311g 4% 962g 968g
805C 0% 61% 527C 20%
38% 792g 543C 41% 493C
282g 215C 373g 27% 885C
832g 466C 857g 0C 86%
427C 330C 579g 652g 177C
34% 857g 757C 21g 918g
80% 0% 486C 378g 895C
691C 793C 246g 247C 88%
0% 88% 9% 539C 331C
209C 11% 4% 19g 237C
308g 93% 302g 0% 790g
25% 241g 551g 612C 768g
252g 158C 191g 913g 12%
477g 431C 726g 61% 9%
-
311C 263g 596g 41% 27%
291g 347C 74% 368C 684g
65% 301g 23% 249g 372C
-
36g 24% 46C 507C 67%
28% 394g 16% 903C 798C
326g 779C 90% 514g 890g
691C 69% 891g 277g 1%
798g 38% 60% 0% 1%
849C 67% 7% 497C 140g
0% 665g 99g 236C 659C
569C 727g 354C 774g 919C
525C 602C 100C 202g 154C
37% 22% 779C 911g 354g
809C 84C 84% 83g 155g
460C 474C 176g 387C 24%
73% 26% 215g 0% 998C
2% 75% 10% 277C 8%
485g 68% 232C 14% 7%
865g 975C 52% 699C 45%
17g 208C 10% 324C 76%
323C 500g 86% 187g 2%
238C 68% 343g 756C 654g
444C 201g 951g 60% 2C
9% 221C 60% 894C 23%
674g 76% 388g 415C 2%
625g 444C 114C 89% 7%
24% 320C 846C 757C 252g
394g 15% 773C 59% 751C
61% 74g 2% 152g 619C
840C 64% 33% 705g 502C
91% 588g 571g 862g 8%
30% 695C 267C 30% 799g
99% 765g 505g 273g 157g
872C 23% 856g 173C 22%
36% 936C 504C 334C 22%
376g 125C 92% 548g 897g
44% 307g 933C 267C 233g
532C 327g 705g 375C 138C
525g 31C 8g 85% 41C
614C 3C 305g 436C 394g
656C 44% 746g 168g 29%
174g 173g 268g 29% 89C
487C 159C 329C 130C 41%
40% 802C 22% 11% 21g
208C 844g 753C 914C 70C
356g 60g 104C 333g 507g
759g 472C 431g 462g 8%
847g 32g 50g 61% 672C
69% 27% 544g 770g 1%
304C 277g 10% 85% 330C
61% 15% 21% 82g 480g
422C 135g 182g 969C 9%
582C 203g 41% 273g 190C
20% 484C 400C 747C 900g
589C 28C 642g 756g 515C
-
449C 21% 571g 38% 677C
720C 374g 181C 0% 36g
57% 956g 705C 142g 33g
486g 41% 34% 21% 0%
20% 155g 57% 534g 56C
916C 34% 752C 743g 359g
5% 11% 705g 162g 3%
426C 411g 610C 22% 337g
67C 397g 830g 744g 395C
702C 2% 94% 773g 3%
591g 580g 123C 703g 34%
129g 999g 159g 675g 55%
60% 14% 20% 669C 740g
616C 22% 39% 38% 843C
839C 179C 850g 668g 242g
99% 584C 616g 449C 658C
70g 78% 823g 790C 9%
-
255C 14% 160g 113C 41%
337C 472g 670g 364g 541g
82% 836C 992C 269C 221C
189C 16% 569g 859g 467g
923g 12% 719g 631g 46g
694C 693C 607C 36% 15%
83% 0% 135g 4% 342C
953C 804C 365C 3% 74%
873g 877g 537g 3% 713C
135g 622C 948g 531g 51%
24% 843C 725C 455C 37%
177g 773C 700C 92% 887C
497C 54% 25% 228C 582g
4% 44% 938C 11% 37%
513C 154C 478g 652C 861C
328g 66% 829C 28% 643g
741g 933C 50% 46% 969g
682g 264g 472g 395g 465C
16g 967C 331C 147g 558g
545g 494C 32% 702g 706g
623g 6% 930C 630C 455C
86% 592C 1% 107C 894g
746g 669g 270g 637g 584g
995g 84g 95g 84% 44C
524g 814g 40% 39C 875g
65% 77C 19% 587C 7%
46% 18% 224g 349C 905g
751C 76% 2% 188g 816g
575C 36g 367C 703g 453g
478g 96% 335g 38g 784g
78g 428C 4% 14% 616C
407C 675C 899C 46% 27%
680g 852C 38g 1% 42%
23% 13% 159g 830C 622g
828C 693g 825C 898g 46%
724C 723g 354g 467g 41%
445g 92% 119g 899g 589g
99C 903g 26% 2% 952g
72% 20% 604C 960C 2%
762g 469C 789C 9% 890C
562g 73% 486g 898g 175C
857g 527C 46% 40% 203C
959C 230g 23% 31% 413g
287g 600g 97% 0% 13g
45% 86C 939g 26% 691C
287C 128C 31% 43% 287C
11% 87% 887g 802g 578g
638C 37g 48% 25% 553g
15C 56% 709g 398C 940C
661g 260C 67% 530g 999C
37% 284g 713C 52g 22%
80C 149g 650C 575g 865g
85% 571C 9% 2% 860g
865g 38% 973C 733C 978C
686g 28C 846C 97% 430C
89% 7% 2% 851g 421C
313C 61% 13% 454C 15C
95% 195g 3% 0% 0%
49% 10% 670C 355g 23%
36% 768g 39% 888g 430g
542g 309g 54% 132C 484g
997C 57% 76C 773g 652C
912C 956C 91% 7% 1%
687g 197C 649C 195g 264C
433g 768C 716C 74% 13%
50g 20% 924C 18% 594g
85% 1% 7% 938g 681g
61% 167g 8% 877C 77C
715C 100C 37% 498g 242C
442C 79% 266g 537C 240C
110g 685g 834C 17% 436g
919g 773g 839C 49% 38%
34% 175g 849C 275g 55%
957C 20% 88C 394g 917C
951C 333C 9% 39g 862C
5% 79% 562C 13% 1%
409C 781C 913g 636C 527g
489C 742C 907C 47% 965g
755C 557g 503C 648C 61%
51% 176C 22% 155g 748C
97C 865C 763C 495C 71g
671g 135C 956C 700C 468C
861C 35% 4% 49% 530g
94% 3% 819g 84C 393g
78% 5% 11% 605C 599g
-
812g 47% 949C 5% 769g
54% 426C 567C 498C 17%
64g 693g 814g 283g 287C
572C 4% 94% 710C 766C
593g 80% 986C 81C 13%
843g 352g 27% 46% 679g
22% 669g 427g 384g 305g
21% 370g 623g 753g 194g
241g 987g 926g 64% 628C
21% 46% 128g 713C 720g
14% 973g 5% 94C 653C
238g 677g 91% 2% 460g
2% 63% 275C 183g 866g
62% 296g 969C 984g 695g
703C 235C 862C 37% 434g
24% 682C 890g 851C 25%
76% 301C 99C 568g 334C
25% 901g 73% 0% 1%
961C 11% 843g 10% 126g
115g 368g 79C 687C 4%
614g 116g 342g 31% 403C
57% 345C 711C 17% 586g
24C 103C 470g 212g 829g
883C 150C 11% 51% 627C
294C 61% 9% 532C 1%
23% 13% 260C 208g 151g
645C 84% 10% 991C 789C
378g 254C 427g 564C 33%
429C 23% 934C 37% 360g
883g 134g 152g 267g 5%
14% 844g 76C 37% 31%
48% 49% 0% 1% 50g
56% 32% 2% 314g 576C
734g 56% 42% 0% 0%
99% 149g 649C 676C 971C
80g 65% 369C 89g 33%
256g 707g 66% 396C 255C
457g 645C 75% 73C 155g
630C 76% 595C 10% 81C
53C 354g 53% 878C 792C
222C 240C 912C 14% 370g
382C 56% 348C 3% 240C
638C 578C 54C 16% 45%
17% 914g 68% 476g 164g
666g 848C 308g 125C 667C
5% 74% 353C 371g 349g
82% 268C 776g 927g 44C
99g 42% 984C 30% 15%
179C 877C 411C 55% 752C
492C 723g 334C 160g 3%
706g 619C 54% 7% 769C
274g 46% 19% 33% 545g
703g 75% 149g 2% 724C
570C 36% 478C 144g 845C
52g 215g 974C 461C 805C
97% 2% 287g 134C 558g
98% 288g 1% 376C 1g
31% 29% 104C 25% 10%
571g 371C 703C 215C 576g
696g 253g 12% 456C 79%
466C 862g 869g 233g 884g
85C 94% 126C 3% 235g
66% 621g 621g 9% 678g
238C 8g 58% 771g 452C
6% 816g 345g 44% 36%
560g 569g 78% 319g 971g
60% 493C 662g 598g 147C
441g 291g 6% 92% 1%
94% 2% 896C 206C 448C
917g 39% 5% 614C 50%
85% 868C 941g 14% 0%
85% 732C 9% 956g 899g
632C 917C 227C 828g 333C
-
270C 27% 344C 362g 941g
927C 16% 6% 615C 48C
805g 41% 1% 60C 828C
296g 181g 596g 82% 418g
43g 797g 356C 360C 40%
48% 624g 77g 832C 409g
916C 10% 53% 678g 3%
90% 794C 271C 7% 826C
743g 145C 915C 39% 360C
111g 58% 429g 927g 459C
55% 355C 741g 556C 609C
47% 34% 72g 2% 976g
64% 7C 13C 965C 247C
36% 6% 856g 570g 923C
46% 50% 315C 0% 0%
713g 103C 462g 60% 9%
908g 13% 86% 661g 0%
396g 6% 191C 35% 23%
-
20% 295g 43% 14% 820g
10% 877C 111g 11% 38%
723g 56% 911C 705C 889g
982C 187g 354g 689C 764g
422C 31g 27g 349g 470C
638g 57g 606g 976g 112C
41% 626g 372g 28% 4%
274g 737C 916g 1% 658C
955C 169g 543C 333g 90%
88% 892g 3% 0% 7%
516g 155C 609C 70% 18%
34g 29g 8C 31% 795C
843g 557C 49% 29% 130C
590g 387g 603g 168C 59%
6% 204C 349g 49% 610C
5% 689C 540g 887C 691g
327g 719g 379g 711g 48%
109C 968g 442C 230g 1%
260C 645C 325C 293C 80%
933g 266g 821C 327g 898g
60g 34% 672C 30% 283g
-
43% 739g 33% 138g 704g
838g 741g 985C 521C 37%
282g 235g 669g 712C 699g
-
595g 757C 170C 931C 738C
65% 499g 9% 981g 228g
95C 417C 94% 822C 1%
35% 172g 977C 627C 770C
66% 971C 18% 756C 375C
657C 562C 580g 613C 625g
392C 35% 758g 259g 272C
54% 416C 807C 988C 42%
253g 186C 527C 975g 520C
694g 117C 829g 93C 12%
822g 7% 493C 853C 731g
549C 44% 151g 206C 7%
430g 991g 543C 423C 613g
354g 455C 25C 176C 133C
175g 243g 75% 494g 22%
760C 22% 39% 276C 254g
-
960C 821C 54g 50% 7%
460C 1% 37% 525g 620g
11% 212C 830C 291g 85%
527g 61% 14% 470g 604g
677C 71% 447g 2% 21%
62% 376C 320C 25% 719C
849C 689g 94% 82g 2%
493C 51% 1% 456g 523g
12% 804C 12C 199g 793C
162g 164C 756C 610g 27%
25% 939C 289g 826C 486g
48% 19% 391g 582C 28%
60% 369C 639g 6% 316g
537C 738C 69% 20% 3%
1% 741C 55% 495C 34%
191C 260C 662g 37% 852g
514g 194g 217C 631g 663g
63C 884C 8% 640C 878C
28% 24% 21% 14% 515C
24% 232C 45% 15% 874C
723g 17g 94C 74% 15%
153C 74% 701g 872g 379C
35% 416C 374g 272C 17C
666g 435g 0% 13% 616g
80% 359g 274C 714C 12%
885g 549g 58% 54C 640C
528g 164g 343g 845C 291C
307g 82% 30C 79g 707g
542C 823C 98% 366g 0%
724C 666C 12% 25% 269C
523C 72g 595C 667g 902C
209C 319g 35% 20% 923C
613C 886C 40% 992C 461C
45% 5% 442C 323g 515g
836g 22C 461g 25% 164C
821C 348C 408g 810g 85%
13C 960C 952g 44% 40%
205g 636g 11% 138g 932C
89% 783g 812C 677C 295g
598C 749g 216g 665C 328C
172C 637C 114g 9% 68%
-
979C 89% 810g 7% 527g
36% 161C 755g 39% 895g
892g 885g 895g 13% 727g
5% 200g 127g 38% 148g
989C 96g 82% 1% 572C
46% 745g 868C 522C 37%
787g 660C 638C 701C 12%
577C 85% 1% 878C 570C
90% 266C 2% 4% 367g
576g 960C 845g 375C 619g
100C 92% 223C 857g 227C
3% 48% 753C 44% 275g
98% 0% 1% 61g 0%
53% 26% 613C 10% 258C
2% 61% 34C 23% 0%
67% 524g 21% 0% 129C
541C 31% 32g 280g 14%
208g 403C 670g 303C 30%
742g 70% 596C 934C 22g
428g 450C 39C 55C 517g
62% 30% 280C 3% 4%
73C 239C 403C 709C 860g
105g 99% 899C 742C 61g
31% 336g 645C 198g 552C
393g 671C 821C 20% 764g
318C 72% 777C 707C 5%
31% 96g 490g 33% 845C
279C 670C 575g 729g 726C
779C 63% 714g 374g 3%
95% 516g 668g 85C 750C
1% 873g 684C 97% 548C
259g 38% 7% 467C 23%
461g 679C 217g 87% 156C
84% 171g 12% 611C 621g
39% 487C 207C 58% 477C
858g 538C 268C 237g 9%
45% 2% 26% 123C 128g
78% 330C 897g 18% 564g
896C 4% 55% 541C 79C
645C 95% 444g 1% 921g
17% 582C 317C 236C 70%
-
663C 475g 238g 342C 326C
36% 291g 19% 869g 1%
40% 45% 884g 228C 13%
61% 9% 327C 335g 739g
313g 868C 763C 51g 91%
667g 35% 6% 732g 161C
632g 474C 10% 188C 823g
59% 155g 94C 26% 254g
65% 723g 909g 71C 646C
89% 655g 569g 10% 363g
36C 882g 2% 813g 26%
592g 92% 591g 414g 595g
247g 42% 32% 773g 12%
212g 711g 4C 423g 618C
237g 40% 230g 43% 7%
56C 14C 0% 61% 11%
713g 46% 2% 141C 15%
820C 23% 48% 43C 18%
703C 837C 57% 684g 19%
56% 171g 652C 204C 538C
6% 680C 170C 134g 543g
206C 291C 315g 333g 818C
822C 75% 28g 961g 874C
556g 210g 61% 906C 298C
180g 47g 251g 171g 362C
784g 68% 178g 27% 729g
342C 297C 73% 637g 858C
32% 39% 213C 11% 5%
77g 240g 974C 42C 261C
431g 760C 860C 91% 0%
32% 3% 27g 618g 28%
424g 712C 911C 87% 952C
28% 357C 465g 525g 67C
858g 93% 75g 102g 5%
90% 108C 286g 40C 5%
27% 59% 10% 753g 2%
517C 320C 214C 83% 13%
58g 446C 84C 539C 58%
821g 322g 521g 504g 493C
95C 27% 273C 514g 209C
133g 36g 787g 664C 97%
894C 8% 25C 890g 956C
192g 45% 523C 21% 328C
696g 91% 1% 853g 356C
879g 573g 71% 721C 21%
96% 433g 544C 913C 699g
80% 54C 480C 501g 4%
488C 12% 775g 11g 77%
78% 867C 87C 12% 8%
45% 51% 0% 447g 937g
835C 88% 11% 0% 0%
98% 1% 0% 0% 0%
-
663C 380C 118g 462g 921C
31% 24% 891C 266g 638g
44% 627g 17% 7% 62g
637g 231g 740C 1g 445C
969g 26% 659C 749C 15C
627g 623C 72% 15% 796C
47C 90g 3% 331g 385C
431g 4% 833g 31% 793C
674C 6% 380g 67C 92C
697g 97% 121g 970C 256g
580g 413C 150g 601g 181C
524g 67% 506g 714g 231g
436g 298g 67% 13% 224C
96% 2% 593g 108g 1%
93% 849C 2% 2% 0%
45% 23% 154C 15% 32g
38% 47% 990C 10% 991C
91% 567g 449C 7% 579g
56% 350C 272C 673g 548g
82% 186g 16% 679C 978g
648g 59% 714C 19% 621g
996C 16% 460C 554g 480C
543g 41% 449C 257g 726g
54% 656C 942g 325g 30%
89C 375g 84% 347g 673g
845C 42% 297g 43% 675g
493C 0% 95% 872C 644g
371C 96g 43% 286C 323g
70% 175C 207g 28% 0%
276C 313g 373g 170C 134g
260C 603C 956C 993C 341g
554C 36% 36% 10% 8%
367C 56% 2% 34% 831g
694g 789C 51% 46% 341C
12% 502g 977g 45C 914g
817g 574C 666g 207C 57%
44% 25% 749C 932g 5%
637C 68% 646g 5% 30g
91% 16C 172g 193C 6%
121C 754g 78% 643g 202g
83% 473g 13% 1% 0%
38% 52% 223C 641C 4%
71C 333g 514g 329g 21g
85% 6% 5% 283C 3%
940C 761C 511C 422C 753g
646g 16% 650g 394C 92C
566C 23% 241C 452g 91g
378C 24% 451C 476g 393g
733C 6% 722C 87% 740g
83% 259g 651g 740g 6%
575C 16% 950C 76% 244C
8% 16% 779g 175C 62%
346C 927C 359C 10% 386g
283C 53g 266C 22% 782g
691g 96% 909C 69g 0%
352C 340g 99% 210g 502C
504C 910C 989g 913C 34%
30C 90% 6% 458C 0%
704C 44% 16% 447g 37%
382C 88% 6% 173C 641C
84% 13% 554g 2% 651g
266C 958C 104C 158C 968C
54% 528C 348g 15% 26%
33g 41% 349g 27% 660g
45% 116g 589C 390g 10%
66% 21% 921g 296C 987C
9g 105g 43% 750C 633C
409C 336C 86% 98C 6%
34% 58% 340g 309C 0%
420g 69% 584g 332g 21%
96C 496C 51% 41% 2%
225g 885g 692C 55% 862g
2g 209C 512C 936C 31%
13% 28% 37% 5% 780C
564g 98% 0% 0% 796C
769C 875g 174C 123g 935C
15g 33% 27% 21% 718C
307C 807C 435C 48% 987g
702g 447C 86g 69% 18%
15% 758g 694g 84% 974C
69% 748C 3% 974C 25%
784C 21% 629C 557g 37%
608g 446g 683g 286g 560C
42% 895C 809C 126C 74g
448C 174g 93% 3% 103g
97% 27C 1% 987C 790C
28% 328C 574g 162g 49%
27% 446C 591g 506C 942C
764C 24g 486C 206C 72%
73% 19% 0% 544g 959g
26% 891C 33% 6% 507C
360g 554C 767g 541C 866g
322C 66% 10% 2% 13%
11% 360g 940g 142g 40%
771C 72% 396g 717C 366g
703C 76% 343C 4% 16%
-
27% 787g 69% 0% 989C
94C 798C 398C 488C 56%
43% 600g 18% 4% 32%
624C 557g 4C 5% 642C
406C 48% 859C 746C 51%
476g 899C 98% 1% 36g
118g 20% 57% 995C 905g
80C 78g 20% 480C 989g
69% 453C 2% 711g 635g
200C 13% 62% 597g 24%
117C 518g 85% 5% 6%
88g 92% 848C 497g 990C
659g 237g 63% 25% 794g
14% 447C 7% 472C 602g
771g 505C 584C 603C 65%
65% 135g 49g 821C 610C
606C 879g 910g 689C 635C
264C 982C 470g 827g 999g
18% 368g 366C 756g 47%
507g 43% 900g 77g 539C
81% 471g 925g 781C 366g
196C 44% 890g 38% 6%
364C 718C 199C 713g 59%
342C 408C 655g 107g 789g
68% 210C 902g 327C 98C
515C 742C 722C 55% 922g
93% 2% 430g 839C 351C
362g 18% 184g 24g 512g
144C 289C 964C 883C 799C
985C 422g 698g 807C 93g
221g 429C 732C 111C 476g
583g 354g 62% 24% 837C
252C 32% 67g 231C 223g
384C 484g 84% 427g 326C
423g 228C 134C 96C 941C
9% 108g 571g 375g 54%
479C 95% 1% 0% 2%
988g 68% 731C 24% 976g
112g 198C 79% 101C 276C
157g 994C 70g 35% 23%
61% 21% 13% 2% 0%
602g 601g 66g 626g 38%
75% 9% 51C 317g 2%
204g 313g 781g 821g 500g
484C 991g 959C 17% 577C
839C 7g 22% 280C 449C
636g 866C 76% 12% 9%
647g 12% 243g 57% 409g
20% 931g 449C 39g 596C
747C 142g 237C 14% 268C
47% 740C 49% 482g 96C
38% 492C 16% 526C 22g
224C 58% 735g 836C 11%
284g 724C 247C 360g 94%
-
632C 169g 573C 431C 84%
85% 0% 13% 1% 52C
679g 72% 888C 769g 300C
47% 15% 31% 5% 689C
229g 74C 177C 859C 62%
16% 19% 602C 847g 50%
301C 784C 282C 35% 13%
381g 50% 776g 25% 248g
-
16% 505g 62% 16% 0%
262g 39% 53% 1% 815g
156C 136g 22% 891g 68%
411C 16% 25% 918g 815g
449C 612C 448C 5% 952C
91% 667C 425g 596g 651C
648C 444C 683g 18% 23%
986C 12% 117g 127g 61%
895C 41% 693C 403C 634C
253C 173g 547g 683C 10%
951C 891g 450g 79% 9%
9C 166g 444g 868C 0%
6% 137g 84% 7% 2%
901g 649C 24% 505g 381C
157g 22g 293C 182g 17%
16g 139g 754C 41% 779g
595g 951C 177g 48C 832C
526C 172g 12% 718g 330C
880C 59% 35% 312g 559C
339g 476g 752C 970g 39%
582g 791g 17% 74% 301C
271C 952C 552g 47% 42%
61% 866C 937C 847g 122C
10% 156C 162g 59% 861g
43g 44% 2% 854C 914C
624g 401g 768g 64% 15%
6% 39% 163g 687g 4%
84% 32g 5% 0% 2%
54C 22% 55% 22% 558g
90g 7% 78% 2% 2%
66g 98% 0% 1% 0%
585g 6% 90% 3% 544g
947C 378g 477g 277g 26%
36% 1% 1% 974g 312g
963C 3% 9C 214C 554g
326g 97g 60% 264g 807C
215g 488C 78% 694C 981g
666g 56% 65g 3% 20%
90% 135g 2% 414C 884g
319C 17C 524C 91% 452C
77% 8% 844C 802C 218C
204C 40% 448C 386C 181C
435C 74% 660C 701C 169C
480g 328C 635C 89% 743g
922C 120C 639C 19% 31%
0% 4% 374C 41% 5%
933g 996g 402C 85% 421C
55% 179g 461g 15% 548g
584C 598C 27% 605g 21%
603C 278g 98% 935C 376g
63% 3% 206C 313C 1g
82% 114g 175g 53g 498C
306C 491C 406g 616C 73%
754g 75% 684C 430g 586g
63% 35% 149C 0% 325C
360g 423C 919C 42% 226g
232C 56% 34% 941C 0%
408C 948g 682C 675C 4g
73% 336g 25% 77C 496C
82% 988g 536C 931C 159g
710C 730g 50% 812g 916C
78g 884C 638g 23g 719g
724C 247g 692C 47% 20%
700g 77% 390g 194C 805g
722g 204C 50% 12% 263C
44% 985g 27% 280g 4g
8% 978C 134C 517g 11%
790g 558g 604C 190g 34%
52% 32% 922g 866C 6%
152g 74% 16% 203g 8%
236g 75% 877C 707C 800g
24% 423g 49% 19% 252C
281C 424C 887g 619g 35%
568C 242C 470C 828g 891g
822g 85% 188C 943C 590C
626C 1% 783g 223C 931g
114C 634C 247C 827C 985C
56C 186g 404C 571C 886C
544g 89% 1% 689g 8%
52% 16% 448C 594C 147C
346g 738g 948C 962C 491C
737g 12% 236C 50C 821g
898C 473g 112g 793g 1%
638C 47% 484C 519C 38%
47% 749C 934C 691C 263C
16% 837C 19% 815g 10%
21% 316g 726C 668g 952g
960C 47% 17% 3% 769g
218g 27% 27C 45% 143C
-
464C 31% 146C 652C 388g
56C 838C 707C 870C 40g
984g 64% 29% 101g 21g
65g 42% 470g 54% 536g
166g 512g 63C 276g 84%
170g 898C 712C 64% 6%
89% 671g 20g 424g 968g
625g 57% 138C 60g 958C
435g 365g 66% 841g 244C
469C 527g 268C 986g 353C
57% 7% 820C 35% 345g
277g 134C 817g 425C 36%
62% 6% 497g 589C 619C
437g 625C 94% 456g 325g
588C 37% 950C 0% 817g
96% 868C 372g 628g 1%
8% 223C 868g 678C 156g
81% 311g 170g 977C 340g
361g 29% 142C 948C 515g
18C 492g 709C 463C 389g
96% 3% 741C 0% 384g
68% 24% 327g 951g 416g
129g 942C 380g 334g 744C
15% 295g 951C 768C 51%
91C 2% 129g 97% 909g
898g 444g 11g 845C 667C
70% 781C 25% 457g 1%
638C 0% 445g 73% 913C
43% 172C 4C 15% 882g
790g 465C 21C 7C 68%
99C 672C 250C 932g 155g
906g 8% 638C 6% 214C
85% 0% 0% 937C 652g
110C 263C 202C 252g 636g
683g 611C 325g 56g 555C
40% 40% 15% 1% 0%
789C 869g 850g 17% 31%
214C 152C 987C 79% 472C
19% 827g 60% 4% 10%
841g 987C 803g 837g 91%
977g 42g 35g 662C 77%
49% 29% 499C 20% 1%
35% 59g 38g 911g 934C
973C 12% 745g 749C 262g
542C 675g 91g 50% 341g
153g 758g 150g 74% 22%
616g 624g 17% 828C 128C
345g 6% 17g 898g 5%
853C 668C 861C 61% 232C
48% 135g 581g 9% 17%
4% 145C 92C 77% 881g
935g 853g 347C 774g 707g
245g 559C 980g 86% 10%
95C 330g 221g 402g 765C
39% 33% 656g 463C 178g
493g 526C 508g 97% 1%
56% 962C 167g 160g 26%
558g 978g 53% 34% 121g
87% 304g 371g 423C 259C
124g 182g 53% 270g 975g
492g 97% 462g 161g 0%
990g 0% 624C 60% 945g
303C 87% 6% 538C 6g
570g 399g 673g 521g 675g
20% 952g 665g 744C 8%
844g 463g 172C 24g 805g
577g 233g 46% 20% 92C
